"ProdottoID";"NomeProdotto";"Categoria";"Prezzo";"QuantitaDisponibile"
147;"Prodotto 47";"Abbigliamento";301.45;63
148;"Prodotto 48";"Abbigliamento";465.67;38
149;"Prodotto 49";"Elettronica";87.09;6
150;"Prodotto 50";"Abbigliamento";319.89;61
151;"Prodotto 51";"Elettronica";394.88;70
152;"Prodotto 52";"Libri";432.71;25
153;"Prodotto 53";"Libri";343.66;80
154;"Prodotto 54";"Libri";227.91;17
155;"Prodotto 55";"Libri";484.65;61
156;"Prodotto 56";"Abbigliamento";383.67;56
157;"Prodotto 57";"Libri";432.96;89
158;"Prodotto 58";"Elettronica";296.35;54
159;"Prodotto 59";"Libri";497.97;82
160;"Prodotto 60";"Libri";75.58;29
161;"Prodotto 61";"Libri";333.04;53
162;"Prodotto 62";"Libri";491.29;69
163;"Prodotto 63";"Libri";399.56;87
164;"Prodotto 64";"Elettronica";347.19;29
165;"Prodotto 65";"Elettronica";41.5;50
166;"Prodotto 66";"Libri";438.81;85
167;"Prodotto 67";"Abbigliamento";352.68;46
168;"Prodotto 68";"Abbigliamento";391.82;42
169;"Prodotto 69";"Abbigliamento";351.8;62
170;"Prodotto 70";"Libri";384.99;27
171;"Prodotto 71";"Libri";473.59;6
172;"Prodotto 72";"Abbigliamento";146.0;51
173;"Prodotto 73";"Libri";243.01;83
174;"Prodotto 74";"Libri";180.51;83
175;"Prodotto 75";"Elettronica";190.99;47
176;"Prodotto 76";"Libri";290.23;26
177;"Prodotto 77";"Elettronica";382.86;17
178;"Prodotto 78";"Abbigliamento";466.76;64
179;"Prodotto 79";"Elettronica";63.64;28
180;"Prodotto 80";"Libri";380.2;65
181;"Prodotto 81";"Libri";427.39;57
182;"Prodotto 82";"Libri";361.16;89
183;"Prodotto 83";"Libri";330.88;3
184;"Prodotto 84";"Abbigliamento";348.1;31
185;"Prodotto 85";"Elettronica";405.9;30
186;"Prodotto 86";"Libri";375.17;39
187;"Prodotto 87";"Libri";262.54;37
188;"Prodotto 88";"Elettronica";79.53;83
189;"Prodotto 89";"Libri";331.41;65
190;"Prodotto 90";"Libri";122.53;24
191;"Prodotto 91";"Abbigliamento";223.53;63
192;"Prodotto 92";"Libri";306.35;35
193;"Prodotto 93";"Libri";251.42;68
194;"Prodotto 94";"Elettronica";459.8;85
195;"Prodotto 95";"Elettronica";258.99;15
196;"Prodotto 96";"Abbigliamento";242.55;97
197;"Prodotto 97";"Abbigliamento";77.77;45
198;"Prodotto 98";"Elettronica";149.67;31
199;"Prodotto 99";"Elettronica";372.59;25
200;"Prodotto 100";"Libri";173.57;85
201;"Prodotto 101";"Libri";38.28;37
202;"Prodotto 102";"Libri";156.9;54
203;"Prodotto 103";"Elettronica";438.53;67
204;"Prodotto 104";"Abbigliamento";31.8;48
205;"Prodotto 105";"Abbigliamento";442.68;32
206;"Prodotto 106";"Elettronica";102.36;67
207;"Prodotto 107";"Abbigliamento";341.95;6
208;"Prodotto 108";"Abbigliamento";467.71;40
209;"Prodotto 109";"Libri";139.25;68
210;"Prodotto 110";"Elettronica";82.45;7
211;"Prodotto 111";"Abbigliamento";392.23;9
212;"Prodotto 112";"Libri";240.04;66
213;"Prodotto 113";"Abbigliamento";123.77;21
214;"Prodotto 114";"Abbigliamento";363.36;7
215;"Prodotto 115";"Abbigliamento";459.43;30
216;"Prodotto 116";"Elettronica";434.99;85
217;"Prodotto 117";"Elettronica";57.06;82
218;"Prodotto 118";"Elettronica";289.26;54
219;"Prodotto 119";"Elettronica";293.53;21
220;"Prodotto 120";"Libri";460.04;93
221;"Prodotto 121";"Libri";301.68;5
222;"Prodotto 122";"Elettronica";439.17;56
223;"Prodotto 123";"Libri";140.81;62
224;"Prodotto 124";"Libri";389.77;29
225;"Prodotto 125";"Abbigliamento";269.57;91
226;"Prodotto 126";"Abbigliamento";98.77;68
227;"Prodotto 127";"Abbigliamento";102.21;99
228;"Prodotto 128";"Elettronica";189.01;88
229;"Prodotto 129";"Elettronica";250.8;62
230;"Prodotto 130";"Abbigliamento";284.3;93
231;"Prodotto 131";"Elettronica";381.56;71
232;"Prodotto 132";"Libri";218.12;3
233;"Prodotto 133";"Abbigliamento";109.88;38
234;"Prodotto 134";"Abbigliamento";195.75;4
235;"Prodotto 135";"Elettronica";81.62;3
236;"Prodotto 136";"Elettronica";73.95;43
237;"Prodotto 137";"Abbigliamento";440.15;94
238;"Prodotto 138";"Elettronica";262.18;39
239;"Prodotto 139";"Elettronica";441.39;52
240;"Prodotto 140";"Libri";490.62;41
241;"Prodotto 141";"Elettronica";148.86;19
242;"Prodotto 142";"Abbigliamento";400.37;53
243;"Prodotto 143";"Libri";264.48;99
244;"Prodotto 144";"Abbigliamento";243.11;1
245;"Prodotto 145";"Libri";118.88;42
246;"Prodotto 146";"Abbigliamento";392.46;41
247;"Prodotto 147";"Libri";105.29;88
248;"Prodotto 148";"Libri";146.09;81
249;"Prodotto 149";"Libri";462.15;65
250;"Prodotto 150";"Elettronica";465.02;94
251;"Prodotto 151";"Elettronica";479.54;4
252;"Prodotto 152";"Elettronica";201.23;2
253;"Prodotto 153";"Abbigliamento";369.76;85
254;"Prodotto 154";"Elettronica";284.03;91
255;"Prodotto 155";"Elettronica";223.62;68
256;"Prodotto 156";"Libri";372.86;16
257;"Prodotto 157";"Elettronica";340.59;100
258;"Prodotto 158";"Libri";104.0;65
259;"Prodotto 159";"Libri";447.82;46
260;"Prodotto 160";"Libri";16.59;35
261;"Prodotto 161";"Libri";500.0;17
262;"Prodotto 162";"Elettronica";235.85;29
263;"Prodotto 163";"Libri";135.08;4
264;"Prodotto 164";"Abbigliamento";274.32;80
265;"Prodotto 165";"Abbigliamento";458.71;95
266;"Prodotto 166";"Elettronica";493.11;60
267;"Prodotto 167";"Abbigliamento";205.99;63
268;"Prodotto 168";"Abbigliamento";185.04;39
269;"Prodotto 169";"Elettronica";211.02;82
270;"Prodotto 170";"Elettronica";92.38;91
271;"Prodotto 171";"Libri";397.86;64
272;"Prodotto 172";"Elettronica";231.46;30
273;"Prodotto 173";"Elettronica";240.43;56
274;"Prodotto 174";"Elettronica";215.27;78
275;"Prodotto 175";"Libri";463.49;98
276;"Prodotto 176";"Libri";127.44;67
277;"Prodotto 177";"Libri";359.81;29
278;"Prodotto 178";"Abbigliamento";76.79;51
279;"Prodotto 179";"Libri";196.06;21
280;"Prodotto 180";"Elettronica";443.0;70
281;"Prodotto 181";"Libri";14.68;29
282;"Prodotto 182";"Libri";436.37;20
283;"Prodotto 183";"Elettronica";259.12;89
284;"Prodotto 184";"Elettronica";494.05;47
285;"Prodotto 185";"Abbigliamento";229.47;36
286;"Prodotto 186";"Elettronica";121.15;94
287;"Prodotto 187";"Elettronica";53.09;32
288;"Prodotto 188";"Elettronica";489.12;72
289;"Prodotto 189";"Abbigliamento";387.52;19
290;"Prodotto 190";"Abbigliamento";367.32;94
291;"Prodotto 191";"Libri";209.55;67
292;"Prodotto 192";"Elettronica";451.03;36
293;"Prodotto 193";"Abbigliamento";222.61;100
294;"Prodotto 194";"Libri";133.1;34
295;"Prodotto 195";"Libri";55.97;20
296;"Prodotto 196";"Abbigliamento";242.9;40
297;"Prodotto 197";"Libri";266.87;21
298;"Prodotto 198";"Elettronica";441.07;79
299;"Prodotto 199";"Libri";42.81;39
300;"Prodotto 200";"Abbigliamento";195.0;8
301;"Prodotto 201";"Abbigliamento";89.14;33
302;"Prodotto 202";"Elettronica";108.2;11
303;"Prodotto 203";"Abbigliamento";131.64;33
304;"Prodotto 204";"Libri";319.18;40
305;"Prodotto 205";"Libri";41.73;59
306;"Prodotto 206";"Libri";116.84;34
307;"Prodotto 207";"Abbigliamento";196.34;44
308;"Prodotto 208";"Libri";334.3;59
309;"Prodotto 209";"Libri";118.07;59
310;"Prodotto 210";"Elettronica";156.14;51
311;"Prodotto 211";"Libri";404.65;63
312;"Prodotto 212";"Elettronica";358.32;64
313;"Prodotto 213";"Libri";371.72;39
314;"Prodotto 214";"Libri";264.36;33
315;"Prodotto 215";"Libri";395.55;90
316;"Prodotto 216";"Elettronica";75.52;10
317;"Prodotto 217";"Abbigliamento";429.31;17
318;"Prodotto 218";"Libri";120.3;14
319;"Prodotto 219";"Abbigliamento";270.2;97
320;"Prodotto 220";"Elettronica";158.92;13
321;"Prodotto 221";"Libri";344.21;78
322;"Prodotto 222";"Abbigliamento";204.55;8
323;"Prodotto 223";"Abbigliamento";24.49;42
324;"Prodotto 224";"Abbigliamento";298.08;15
325;"Prodotto 225";"Abbigliamento";488.96;86
326;"Prodotto 226";"Elettronica";120.15;20
327;"Prodotto 227";"Libri";435.79;40
328;"Prodotto 228";"Elettronica";98.17;62
329;"Prodotto 229";"Libri";217.3;91
330;"Prodotto 230";"Elettronica";262.98;24
331;"Prodotto 231";"Elettronica";408.01;5
332;"Prodotto 232";"Abbigliamento";220.69;15
333;"Prodotto 233";"Abbigliamento";473.81;31
334;"Prodotto 234";"Libri";368.67;19
335;"Prodotto 235";"Abbigliamento";306.51;50
336;"Prodotto 236";"Libri";104.94;65
337;"Prodotto 237";"Abbigliamento";140.77;35
338;"Prodotto 238";"Abbigliamento";74.22;99
339;"Prodotto 239";"Elettronica";496.79;80
340;"Prodotto 240";"Libri";32.56;91
341;"Prodotto 241";"Elettronica";443.44;72
342;"Prodotto 242";"Elettronica";428.41;22
343;"Prodotto 243";"Abbigliamento";193.83;48
344;"Prodotto 244";"Elettronica";160.83;65
345;"Prodotto 245";"Libri";453.12;60
346;"Prodotto 246";"Abbigliamento";359.48;1
347;"Prodotto 247";"Libri";214.86;13
348;"Prodotto 248";"Abbigliamento";489.43;39
349;"Prodotto 249";"Libri";396.29;79
350;"Prodotto 250";"Elettronica";491.76;83
351;"Prodotto 251";"Abbigliamento";255.52;87
352;"Prodotto 252";"Elettronica";63.28;51
353;"Prodotto 253";"Libri";137.4;99
354;"Prodotto 254";"Elettronica";238.06;55
355;"Prodotto 255";"Abbigliamento";442.37;41
356;"Prodotto 256";"Libri";216.47;64
357;"Prodotto 257";"Libri";390.69;13
358;"Prodotto 258";"Libri";276.53;75
359;"Prodotto 259";"Abbigliamento";198.01;45
360;"Prodotto 260";"Elettronica";473.95;3
361;"Prodotto 261";"Elettronica";204.81;35
362;"Prodotto 262";"Elettronica";15.07;62
363;"Prodotto 263";"Abbigliamento";53.84;19
364;"Prodotto 264";"Libri";197.13;95
365;"Prodotto 265";"Elettronica";92.3;51
366;"Prodotto 266";"Libri";337.75;33
367;"Prodotto 267";"Libri";15.77;18
368;"Prodotto 268";"Elettronica";257.87;69
369;"Prodotto 269";"Abbigliamento";412.08;13
370;"Prodotto 270";"Abbigliamento";411.89;5
371;"Prodotto 271";"Abbigliamento";400.41;26
372;"Prodotto 272";"Elettronica";374.07;92
373;"Prodotto 273";"Abbigliamento";420.5;91
374;"Prodotto 274";"Libri";117.33;94
375;"Prodotto 275";"Libri";217.52;60
376;"Prodotto 276";"Libri";419.44;92
377;"Prodotto 277";"Libri";90.57;39
378;"Prodotto 278";"Elettronica";430.53;65
379;"Prodotto 279";"Elettronica";391.35;87
380;"Prodotto 280";"Abbigliamento";215.6;25
381;"Prodotto 281";"Elettronica";252.41;2
382;"Prodotto 282";"Libri";457.34;57
383;"Prodotto 283";"Elettronica";129.86;71
384;"Prodotto 284";"Abbigliamento";473.24;8
385;"Prodotto 285";"Abbigliamento";155.76;98
386;"Prodotto 286";"Libri";379.7;85
387;"Prodotto 287";"Abbigliamento";71.03;34
388;"Prodotto 288";"Libri";38.13;80
389;"Prodotto 289";"Libri";340.31;50
390;"Prodotto 290";"Abbigliamento";239.88;73
391;"Prodotto 291";"Abbigliamento";490.86;49
392;"Prodotto 292";"Elettronica";26.62;83
393;"Prodotto 293";"Elettronica";87.71;11
394;"Prodotto 294";"Abbigliamento";360.56;69
395;"Prodotto 295";"Abbigliamento";134.89;18
396;"Prodotto 296";"Elettronica";109.55;100
397;"Prodotto 297";"Abbigliamento";14.66;96
398;"Prodotto 298";"Elettronica";297.23;57
399;"Prodotto 299";"Abbigliamento";445.1;33
400;"Prodotto 300";"Elettronica";451.08;52
401;"Prodotto 301";"Abbigliamento";31.36;97
402;"Prodotto 302";"Libri";450.82;55
403;"Prodotto 303";"Libri";470.76;58
404;"Prodotto 304";"Libri";379.39;51
405;"Prodotto 305";"Libri";235.93;74
406;"Prodotto 306";"Elettronica";280.39;81
407;"Prodotto 307";"Abbigliamento";385.02;58
408;"Prodotto 308";"Libri";145.59;13
409;"Prodotto 309";"Libri";213.72;29
410;"Prodotto 310";"Elettronica";477.6;29
411;"Prodotto 311";"Abbigliamento";437.42;63
412;"Prodotto 312";"Elettronica";171.61;30
413;"Prodotto 313";"Elettronica";265.03;4
414;"Prodotto 314";"Libri";69.22;97
415;"Prodotto 315";"Abbigliamento";13.23;66
416;"Prodotto 316";"Elettronica";149.82;2
417;"Prodotto 317";"Elettronica";272.08;54
418;"Prodotto 318";"Abbigliamento";196.42;35
419;"Prodotto 319";"Abbigliamento";71.97;84
420;"Prodotto 320";"Elettronica";114.28;48
421;"Prodotto 321";"Elettronica";229.21;91
422;"Prodotto 322";"Libri";309.7;29
423;"Prodotto 323";"Elettronica";60.37;37
424;"Prodotto 324";"Libri";80.3;19
425;"Prodotto 325";"Elettronica";199.07;87
426;"Prodotto 326";"Elettronica";452.49;43
427;"Prodotto 327";"Libri";117.19;65
428;"Prodotto 328";"Libri";56.66;22
429;"Prodotto 329";"Elettronica";153.45;28
430;"Prodotto 330";"Libri";496.42;49
431;"Prodotto 331";"Abbigliamento";214.95;68
432;"Prodotto 332";"Libri";265.01;39
433;"Prodotto 333";"Libri";130.24;25
434;"Prodotto 334";"Abbigliamento";150.92;10
435;"Prodotto 335";"Elettronica";266.0;47
436;"Prodotto 336";"Elettronica";236.66;43
437;"Prodotto 337";"Elettronica";44.95;41
438;"Prodotto 338";"Libri";345.73;92
439;"Prodotto 339";"Libri";138.64;71
440;"Prodotto 340";"Elettronica";293.65;12
441;"Prodotto 341";"Libri";177.65;57
442;"Prodotto 342";"Abbigliamento";65.91;55
443;"Prodotto 343";"Elettronica";241.59;74
444;"Prodotto 344";"Elettronica";498.45;72
445;"Prodotto 345";"Libri";28.06;96
446;"Prodotto 346";"Libri";392.38;55
447;"Prodotto 347";"Abbigliamento";24.59;86
448;"Prodotto 348";"Libri";189.98;39
449;"Prodotto 349";"Elettronica";372.07;55
450;"Prodotto 350";"Libri";353.83;96
451;"Prodotto 351";"Abbigliamento";395.56;18
452;"Prodotto 352";"Abbigliamento";285.48;47
453;"Prodotto 353";"Abbigliamento";285.42;13
454;"Prodotto 354";"Abbigliamento";357.81;87
455;"Prodotto 355";"Libri";351.49;27
456;"Prodotto 356";"Elettronica";266.83;75
457;"Prodotto 357";"Abbigliamento";22.26;30
458;"Prodotto 358";"Elettronica";193.3;47
459;"Prodotto 359";"Libri";313.49;61
460;"Prodotto 360";"Abbigliamento";329.14;56
461;"Prodotto 361";"Elettronica";160.31;81
462;"Prodotto 362";"Abbigliamento";443.47;46
463;"Prodotto 363";"Elettronica";443.76;27
464;"Prodotto 364";"Abbigliamento";483.82;57
465;"Prodotto 365";"Abbigliamento";110.08;73
466;"Prodotto 366";"Abbigliamento";270.64;48
467;"Prodotto 367";"Abbigliamento";435.72;20
468;"Prodotto 368";"Libri";101.34;54
469;"Prodotto 369";"Libri";438.41;94
470;"Prodotto 370";"Elettronica";435.76;75
471;"Prodotto 371";"Abbigliamento";472.81;92
472;"Prodotto 372";"Libri";42.99;13
473;"Prodotto 373";"Elettronica";333.8;14
474;"Prodotto 374";"Libri";464.56;16
475;"Prodotto 375";"Abbigliamento";24.56;3
476;"Prodotto 376";"Abbigliamento";84.42;95
477;"Prodotto 377";"Elettronica";330.75;48
478;"Prodotto 378";"Libri";362.86;26
479;"Prodotto 379";"Elettronica";440.49;54
480;"Prodotto 380";"Abbigliamento";190.81;42
481;"Prodotto 381";"Elettronica";163.66;77
482;"Prodotto 382";"Elettronica";38.43;61
483;"Prodotto 383";"Elettronica";427.35;91
484;"Prodotto 384";"Libri";122.04;34
485;"Prodotto 385";"Abbigliamento";243.12;97
486;"Prodotto 386";"Abbigliamento";454.97;90
487;"Prodotto 387";"Libri";196.0;95
488;"Prodotto 388";"Libri";69.02;29
489;"Prodotto 389";"Libri";260.05;3
490;"Prodotto 390";"Libri";111.81;80
491;"Prodotto 391";"Elettronica";330.75;100
492;"Prodotto 392";"Elettronica";144.72;57
493;"Prodotto 393";"Libri";387.21;9
494;"Prodotto 394";"Libri";450.99;74
495;"Prodotto 395";"Abbigliamento";28.43;23
496;"Prodotto 396";"Elettronica";304.43;36
497;"Prodotto 397";"Abbigliamento";177.82;23
498;"Prodotto 398";"Abbigliamento";345.71;74
499;"Prodotto 399";"Libri";310.48;15
500;"Prodotto 400";"Libri";419.46;81
501;"Prodotto 401";"Elettronica";488.85;67
502;"Prodotto 402";"Abbigliamento";491.12;46
503;"Prodotto 403";"Libri";454.11;26
504;"Prodotto 404";"Elettronica";342.46;28
505;"Prodotto 405";"Elettronica";112.12;77
506;"Prodotto 406";"Abbigliamento";425.0;4
507;"Prodotto 407";"Libri";200.54;89
508;"Prodotto 408";"Abbigliamento";165.1;7
509;"Prodotto 409";"Abbigliamento";143.74;56
510;"Prodotto 410";"Libri";191.91;73
511;"Prodotto 411";"Abbigliamento";244.84;94
512;"Prodotto 412";"Abbigliamento";319.4;36
513;"Prodotto 413";"Abbigliamento";216.57;23
514;"Prodotto 414";"Abbigliamento";158.42;81
515;"Prodotto 415";"Libri";64.12;24
516;"Prodotto 416";"Libri";186.19;21
517;"Prodotto 417";"Elettronica";95.69;91
518;"Prodotto 418";"Libri";243.57;44
519;"Prodotto 419";"Libri";366.57;69
520;"Prodotto 420";"Elettronica";18.7;60
521;"Prodotto 421";"Elettronica";45.42;63
522;"Prodotto 422";"Abbigliamento";173.25;8
523;"Prodotto 423";"Elettronica";210.85;76
524;"Prodotto 424";"Abbigliamento";42.26;31
525;"Prodotto 425";"Abbigliamento";260.72;65
526;"Prodotto 426";"Elettronica";17.6;72
527;"Prodotto 427";"Libri";30.56;29
528;"Prodotto 428";"Libri";245.68;7
529;"Prodotto 429";"Abbigliamento";144.64;31
530;"Prodotto 430";"Abbigliamento";454.08;72
531;"Prodotto 431";"Elettronica";446.12;24
532;"Prodotto 432";"Libri";272.37;90
533;"Prodotto 433";"Abbigliamento";108.42;92
534;"Prodotto 434";"Abbigliamento";67.72;100
535;"Prodotto 435";"Libri";468.94;89
536;"Prodotto 436";"Elettronica";229.66;3
537;"Prodotto 437";"Abbigliamento";98.91;82
538;"Prodotto 438";"Libri";207.69;51
539;"Prodotto 439";"Libri";258.19;91
540;"Prodotto 440";"Elettronica";305.35;68
541;"Prodotto 441";"Abbigliamento";454.22;17
542;"Prodotto 442";"Libri";486.57;25
543;"Prodotto 443";"Elettronica";283.34;90
544;"Prodotto 444";"Elettronica";466.43;65
545;"Prodotto 445";"Abbigliamento";55.13;3
546;"Prodotto 446";"Abbigliamento";403.58;46
547;"Prodotto 447";"Abbigliamento";289.69;89
548;"Prodotto 448";"Elettronica";388.8;12
549;"Prodotto 449";"Elettronica";244.45;12
550;"Prodotto 450";"Libri";381.39;17
551;"Prodotto 451";"Elettronica";202.19;53
552;"Prodotto 452";"Libri";98.0;57
553;"Prodotto 453";"Abbigliamento";87.46;7
554;"Prodotto 454";"Abbigliamento";348.99;28
555;"Prodotto 455";"Abbigliamento";434.62;36
556;"Prodotto 456";"Abbigliamento";88.4;91
557;"Prodotto 457";"Elettronica";233.78;36
558;"Prodotto 458";"Abbigliamento";60.69;92
559;"Prodotto 459";"Elettronica";413.69;90
560;"Prodotto 460";"Elettronica";276.09;87
561;"Prodotto 461";"Elettronica";139.46;84
562;"Prodotto 462";"Elettronica";234.31;78
563;"Prodotto 463";"Abbigliamento";308.87;12
564;"Prodotto 464";"Elettronica";384.63;27
565;"Prodotto 465";"Elettronica";35.35;5
566;"Prodotto 466";"Elettronica";359.48;74
567;"Prodotto 467";"Libri";202.28;83
568;"Prodotto 468";"Libri";176.95;53
569;"Prodotto 469";"Abbigliamento";163.3;79
570;"Prodotto 470";"Libri";325.71;26
571;"Prodotto 471";"Libri";446.98;85
572;"Prodotto 472";"Elettronica";208.31;74
573;"Prodotto 473";"Libri";361.11;7
574;"Prodotto 474";"Libri";470.61;33
575;"Prodotto 475";"Abbigliamento";446.23;1
576;"Prodotto 476";"Libri";367.07;74
577;"Prodotto 477";"Abbigliamento";409.77;92
578;"Prodotto 478";"Abbigliamento";431.03;53
579;"Prodotto 479";"Libri";383.53;84
580;"Prodotto 480";"Elettronica";246.34;84
581;"Prodotto 481";"Elettronica";327.26;63
582;"Prodotto 482";"Libri";274.82;79
583;"Prodotto 483";"Libri";264.18;53
584;"Prodotto 484";"Abbigliamento";251.41;54
585;"Prodotto 485";"Libri";222.69;63
586;"Prodotto 486";"Abbigliamento";246.56;94
587;"Prodotto 487";"Elettronica";177.42;78
588;"Prodotto 488";"Abbigliamento";340.43;81
589;"Prodotto 489";"Elettronica";251.92;1
590;"Prodotto 490";"Abbigliamento";345.45;9
591;"Prodotto 491";"Abbigliamento";45.95;52
592;"Prodotto 492";"Abbigliamento";88.95;88
593;"Prodotto 493";"Elettronica";129.87;31
594;"Prodotto 494";"Abbigliamento";392.26;98
595;"Prodotto 495";"Abbigliamento";35.28;94
596;"Prodotto 496";"Elettronica";342.92;13
597;"Prodotto 497";"Abbigliamento";353.47;100
598;"Prodotto 498";"Elettronica";172.26;98
599;"Prodotto 499";"Elettronica";124.75;11
600;"Prodotto 500";"Abbigliamento";232.94;21
601;"Prodotto 501";"Elettronica";53.05;65
602;"Prodotto 502";"Libri";145.25;68
603;"Prodotto 503";"Abbigliamento";283.36;14
604;"Prodotto 504";"Libri";296.86;92
605;"Prodotto 505";"Elettronica";124.66;28
606;"Prodotto 506";"Elettronica";102.53;2
607;"Prodotto 507";"Elettronica";467.46;26
608;"Prodotto 508";"Libri";83.84;40
609;"Prodotto 509";"Abbigliamento";213.78;66
610;"Prodotto 510";"Libri";404.26;2
611;"Prodotto 511";"Abbigliamento";204.79;18
612;"Prodotto 512";"Elettronica";433.6;39
613;"Prodotto 513";"Elettronica";75.71;54
614;"Prodotto 514";"Libri";191.81;78
615;"Prodotto 515";"Abbigliamento";388.32;55
616;"Prodotto 516";"Elettronica";357.16;99
617;"Prodotto 517";"Libri";263.27;84
618;"Prodotto 518";"Libri";173.62;39
619;"Prodotto 519";"Abbigliamento";293.99;89
620;"Prodotto 520";"Abbigliamento";378.28;93
621;"Prodotto 521";"Libri";69.34;86
622;"Prodotto 522";"Abbigliamento";146.92;98
623;"Prodotto 523";"Abbigliamento";362.77;66
624;"Prodotto 524";"Libri";176.18;9
625;"Prodotto 525";"Libri";26.81;71
626;"Prodotto 526";"Libri";67.1;35
627;"Prodotto 527";"Abbigliamento";61.05;73
628;"Prodotto 528";"Elettronica";44.04;85
629;"Prodotto 529";"Libri";444.53;26
630;"Prodotto 530";"Libri";279.14;7
631;"Prodotto 531";"Abbigliamento";183.51;53
632;"Prodotto 532";"Elettronica";135.07;43
633;"Prodotto 533";"Elettronica";20.44;88
634;"Prodotto 534";"Libri";386.54;66
635;"Prodotto 535";"Libri";72.78;84
636;"Prodotto 536";"Libri";207.26;20
637;"Prodotto 537";"Elettronica";200.13;42
638;"Prodotto 538";"Abbigliamento";388.31;21
639;"Prodotto 539";"Libri";62.5;20
640;"Prodotto 540";"Libri";300.46;57
641;"Prodotto 541";"Libri";103.4;55
642;"Prodotto 542";"Abbigliamento";95.99;12
643;"Prodotto 543";"Libri";293.23;26
644;"Prodotto 544";"Libri";78.12;53
645;"Prodotto 545";"Abbigliamento";357.43;100
646;"Prodotto 546";"Libri";188.31;50
647;"Prodotto 547";"Libri";125.97;96
648;"Prodotto 548";"Elettronica";262.23;64
649;"Prodotto 549";"Elettronica";192.44;75
650;"Prodotto 550";"Elettronica";417.44;20
651;"Prodotto 551";"Elettronica";34.77;49
652;"Prodotto 552";"Elettronica";387.43;8
653;"Prodotto 553";"Elettronica";270.25;78
654;"Prodotto 554";"Abbigliamento";179.17;84
655;"Prodotto 555";"Libri";382.9;10
656;"Prodotto 556";"Elettronica";390.46;94
657;"Prodotto 557";"Elettronica";215.56;70
658;"Prodotto 558";"Abbigliamento";394.19;30
659;"Prodotto 559";"Elettronica";423.89;94
660;"Prodotto 560";"Abbigliamento";171.11;2
661;"Prodotto 561";"Abbigliamento";203.56;92
662;"Prodotto 562";"Libri";264.96;99
663;"Prodotto 563";"Elettronica";467.98;5
664;"Prodotto 564";"Elettronica";126.72;53
665;"Prodotto 565";"Elettronica";409.96;97
666;"Prodotto 566";"Libri";80.83;94
667;"Prodotto 567";"Libri";41.31;49
668;"Prodotto 568";"Abbigliamento";167.63;51
669;"Prodotto 569";"Abbigliamento";329.48;58
670;"Prodotto 570";"Elettronica";168.19;33
671;"Prodotto 571";"Abbigliamento";352.56;39
672;"Prodotto 572";"Elettronica";204.71;3
673;"Prodotto 573";"Abbigliamento";351.56;6
674;"Prodotto 574";"Elettronica";380.87;98
675;"Prodotto 575";"Abbigliamento";117.16;68
676;"Prodotto 576";"Libri";125.62;95
677;"Prodotto 577";"Libri";275.57;54
678;"Prodotto 578";"Elettronica";116.19;74
679;"Prodotto 579";"Abbigliamento";170.85;29
680;"Prodotto 580";"Libri";63.85;94
681;"Prodotto 581";"Abbigliamento";491.72;30
