"SpedizioneID";"MetodoSpedizione";"DataSpedizione";"StatusConsegna"
79;"Corriere Express";"2023-10-09 00:00:00";"Consegna Riuscita"
80;"Posta Prioritaria";"2023-05-05 00:00:00";"Consegna Riuscita"
81;"Corriere Express";"2023-01-18 00:00:00";"Consegna Riuscita"
82;"Corriere Express";"2023-04-05 00:00:00";"Consegna Riuscita"
83;"Corriere Express";"2023-04-22 00:00:00";"Consegna Riuscita"
84;"Corriere Express";"2023-01-03 00:00:00";"In Consegna"
85;"Corriere Express";"2023-04-30 00:00:00";"Consegna Riuscita"
86;"Posta Prioritaria";"2023-04-03 00:00:00";"In Consegna"
87;"Corriere Express";"2023-11-05 00:00:00";"Consegna Riuscita"
88;"Corriere Express";"2023-10-21 00:00:00";"In Consegna"
89;"Posta Prioritaria";"2023-10-14 00:00:00";"Consegna Riuscita"
90;"Corriere Express";"2023-09-28 00:00:00";"Consegna Riuscita"
91;"Posta Prioritaria";"2023-04-04 00:00:00";"In Consegna"
92;"Posta Prioritaria";"2023-11-30 00:00:00";"In Consegna"
93;"Posta Prioritaria";"2023-06-11 00:00:00";"In Consegna"
94;"Posta Prioritaria";"2023-08-14 00:00:00";"Consegna Riuscita"
95;"Posta Prioritaria";"2023-05-01 00:00:00";"In Consegna"
96;"Posta Prioritaria";"2023-07-21 00:00:00";"In Consegna"
97;"Posta Prioritaria";"2023-12-08 00:00:00";"Consegna Riuscita"
98;"Posta Prioritaria";"2023-03-19 00:00:00";"In Consegna"
99;"Corriere Express";"2023-09-28 00:00:00";"In Consegna"
100;"Posta Prioritaria";"2023-02-07 00:00:00";"In Consegna"
101;"Corriere Express";"2023-05-16 00:00:00";"Consegna Riuscita"
102;"Corriere Express";"2023-06-25 00:00:00";"Consegna Riuscita"
103;"Corriere Express";"2023-02-13 00:00:00";"Consegna Riuscita"
104;"Corriere Express";"2023-12-11 00:00:00";"Consegna Riuscita"
105;"Corriere Express";"2023-12-14 00:00:00";"In Consegna"
106;"Posta Prioritaria";"2023-12-16 00:00:00";"Consegna Riuscita"
107;"Posta Prioritaria";"2023-01-11 00:00:00";"Consegna Riuscita"
108;"Posta Prioritaria";"2023-01-29 00:00:00";"In Consegna"
109;"Corriere Express";"2023-09-08 00:00:00";"Consegna Riuscita"
110;"Corriere Express";"2023-03-04 00:00:00";"In Consegna"
111;"Posta Prioritaria";"2023-09-07 00:00:00";"In Consegna"
112;"Posta Prioritaria";"2023-11-14 00:00:00";"In Consegna"
113;"Posta Prioritaria";"2023-09-12 00:00:00";"Consegna Riuscita"
114;"Posta Prioritaria";"2023-10-07 00:00:00";"Consegna Riuscita"
115;"Posta Prioritaria";"2023-01-21 00:00:00";"Consegna Riuscita"
116;"Corriere Express";"2023-11-10 00:00:00";"In Consegna"
117;"Corriere Express";"2023-03-14 00:00:00";"Consegna Riuscita"
118;"Posta Prioritaria";"2023-12-21 00:00:00";"In Consegna"
119;"Corriere Express";"2023-09-04 00:00:00";"Consegna Riuscita"
120;"Posta Prioritaria";"2023-12-20 00:00:00";"In Consegna"
121;"Corriere Express";"2023-08-29 00:00:00";"In Consegna"
122;"Posta Prioritaria";"2023-05-17 00:00:00";"Consegna Riuscita"
123;"Posta Prioritaria";"2023-06-17 00:00:00";"In Consegna"
124;"Corriere Express";"2023-09-19 00:00:00";"In Consegna"
125;"Corriere Express";"2023-07-19 00:00:00";"In Consegna"
126;"Corriere Express";"2023-03-13 00:00:00";"In Consegna"
127;"Corriere Express";"2023-08-19 00:00:00";"Consegna Riuscita"
128;"Corriere Express";"2023-08-11 00:00:00";"Consegna Riuscita"
129;"Posta Prioritaria";"2023-03-13 00:00:00";"In Consegna"
130;"Corriere Express";"2023-01-25 00:00:00";"In Consegna"
131;"Corriere Express";"2023-11-09 00:00:00";"In Consegna"
132;"Corriere Express";"2023-09-21 00:00:00";"In Consegna"
133;"Posta Prioritaria";"2023-10-22 00:00:00";"In Consegna"
134;"Corriere Express";"2023-07-24 00:00:00";"In Consegna"
135;"Corriere Express";"2023-07-08 00:00:00";"In Consegna"
136;"Posta Prioritaria";"2023-03-21 00:00:00";"Consegna Riuscita"
137;"Corriere Express";"2023-05-09 00:00:00";"In Consegna"
138;"Corriere Express";"2023-06-18 00:00:00";"Consegna Riuscita"
139;"Corriere Express";"2023-02-28 00:00:00";"Consegna Riuscita"
140;"Corriere Express";"2023-05-28 00:00:00";"In Consegna"
141;"Corriere Express";"2023-10-15 00:00:00";"Consegna Riuscita"
142;"Posta Prioritaria";"2023-10-27 00:00:00";"Consegna Riuscita"
143;"Corriere Express";"2023-04-05 00:00:00";"Consegna Riuscita"
144;"Corriere Express";"2023-12-30 00:00:00";"In Consegna"
145;"Corriere Express";"2023-01-02 00:00:00";"In Consegna"
146;"Corriere Express";"2023-03-14 00:00:00";"Consegna Riuscita"
147;"Posta Prioritaria";"2023-02-14 00:00:00";"In Consegna"
148;"Posta Prioritaria";"2023-12-14 00:00:00";"In Consegna"
149;"Corriere Express";"2023-09-29 00:00:00";"Consegna Riuscita"
150;"Posta Prioritaria";"2023-04-14 00:00:00";"In Consegna"
151;"Posta Prioritaria";"2023-04-27 00:00:00";"In Consegna"
152;"Posta Prioritaria";"2023-09-20 00:00:00";"In Consegna"
153;"Posta Prioritaria";"2023-12-08 00:00:00";"In Consegna"
154;"Posta Prioritaria";"2023-07-25 00:00:00";"In Consegna"
155;"Posta Prioritaria";"2023-12-11 00:00:00";"In Consegna"
156;"Corriere Express";"2023-04-16 00:00:00";"In Consegna"
157;"Posta Prioritaria";"2023-11-25 00:00:00";"Consegna Riuscita"
158;"Posta Prioritaria";"2023-12-15 00:00:00";"In Consegna"
159;"Posta Prioritaria";"2023-10-07 00:00:00";"Consegna Riuscita"
160;"Posta Prioritaria";"2023-06-21 00:00:00";"Consegna Riuscita"
161;"Posta Prioritaria";"2023-12-27 00:00:00";"Consegna Riuscita"
162;"Posta Prioritaria";"2023-04-06 00:00:00";"Consegna Riuscita"
163;"Corriere Express";"2023-02-11 00:00:00";"In Consegna"
164;"Posta Prioritaria";"2023-04-21 00:00:00";"Consegna Riuscita"
165;"Posta Prioritaria";"2023-04-09 00:00:00";"Consegna Riuscita"
166;"Corriere Express";"2023-02-02 00:00:00";"In Consegna"
167;"Posta Prioritaria";"2023-12-21 00:00:00";"In Consegna"
168;"Posta Prioritaria";"2023-06-13 00:00:00";"Consegna Riuscita"
169;"Posta Prioritaria";"2023-04-15 00:00:00";"Consegna Riuscita"
170;"Posta Prioritaria";"2023-01-26 00:00:00";"Consegna Riuscita"
171;"Posta Prioritaria";"2023-11-18 00:00:00";"In Consegna"
172;"Corriere Express";"2023-01-15 00:00:00";"Consegna Riuscita"
173;"Posta Prioritaria";"2023-01-27 00:00:00";"Consegna Riuscita"
174;"Posta Prioritaria";"2023-09-25 00:00:00";"In Consegna"
175;"Corriere Express";"2023-05-06 00:00:00";"Consegna Riuscita"
176;"Posta Prioritaria";"2023-08-15 00:00:00";"Consegna Riuscita"
177;"Posta Prioritaria";"2023-07-20 00:00:00";"In Consegna"
178;"Corriere Express";"2023-09-21 00:00:00";"Consegna Riuscita"
179;"Corriere Express";"2023-02-13 00:00:00";"Consegna Riuscita"
180;"Posta Prioritaria";"2023-08-23 00:00:00";"In Consegna"
181;"Posta Prioritaria";"2023-02-17 00:00:00";"In Consegna"
182;"Posta Prioritaria";"2023-09-05 00:00:00";"Consegna Riuscita"
183;"Corriere Express";"2023-07-19 00:00:00";"In Consegna"
184;"Posta Prioritaria";"2023-12-15 00:00:00";"In Consegna"
185;"Corriere Express";"2023-05-15 00:00:00";"In Consegna"
186;"Posta Prioritaria";"2023-08-17 00:00:00";"In Consegna"
187;"Corriere Express";"2023-07-26 00:00:00";"In Consegna"
188;"Posta Prioritaria";"2023-03-31 00:00:00";"Consegna Riuscita"
189;"Posta Prioritaria";"2023-10-11 00:00:00";"Consegna Riuscita"
190;"Posta Prioritaria";"2023-04-21 00:00:00";"In Consegna"
191;"Corriere Express";"2023-03-23 00:00:00";"Consegna Riuscita"
192;"Posta Prioritaria";"2023-05-29 00:00:00";"Consegna Riuscita"
193;"Corriere Express";"2023-07-11 00:00:00";"In Consegna"
194;"Posta Prioritaria";"2023-04-05 00:00:00";"Consegna Riuscita"
195;"Corriere Express";"2023-02-22 00:00:00";"In Consegna"
196;"Posta Prioritaria";"2023-07-17 00:00:00";"In Consegna"
197;"Corriere Express";"2023-02-22 00:00:00";"In Consegna"
198;"Posta Prioritaria";"2023-12-31 00:00:00";"Consegna Riuscita"
199;"Corriere Express";"2023-11-03 00:00:00";"Consegna Riuscita"
200;"Posta Prioritaria";"2023-08-27 00:00:00";"In Consegna"
201;"Posta Prioritaria";"2023-11-25 00:00:00";"Consegna Riuscita"
202;"Posta Prioritaria";"2023-12-11 00:00:00";"In Consegna"
203;"Corriere Express";"2023-01-08 00:00:00";"Consegna Riuscita"
204;"Corriere Express";"2023-10-04 00:00:00";"Consegna Riuscita"
205;"Corriere Express";"2023-01-02 00:00:00";"Consegna Riuscita"
206;"Corriere Express";"2023-09-30 00:00:00";"Consegna Riuscita"
207;"Corriere Express";"2023-04-15 00:00:00";"In Consegna"
208;"Posta Prioritaria";"2023-05-15 00:00:00";"Consegna Riuscita"
209;"Posta Prioritaria";"2023-07-26 00:00:00";"Consegna Riuscita"
210;"Posta Prioritaria";"2023-01-09 00:00:00";"Consegna Riuscita"
211;"Corriere Express";"2023-05-22 00:00:00";"In Consegna"
212;"Corriere Express";"2023-06-07 00:00:00";"In Consegna"
213;"Posta Prioritaria";"2023-12-10 00:00:00";"Consegna Riuscita"
214;"Corriere Express";"2023-07-03 00:00:00";"In Consegna"
215;"Posta Prioritaria";"2023-11-09 00:00:00";"Consegna Riuscita"
216;"Corriere Express";"2023-11-11 00:00:00";"Consegna Riuscita"
217;"Posta Prioritaria";"2023-06-28 00:00:00";"In Consegna"
218;"Posta Prioritaria";"2023-07-21 00:00:00";"Consegna Riuscita"
219;"Posta Prioritaria";"2023-04-09 00:00:00";"Consegna Riuscita"
220;"Corriere Express";"2023-12-07 00:00:00";"Consegna Riuscita"
221;"Posta Prioritaria";"2023-02-06 00:00:00";"In Consegna"
222;"Corriere Express";"2023-11-27 00:00:00";"Consegna Riuscita"
223;"Corriere Express";"2023-11-16 00:00:00";"Consegna Riuscita"
224;"Posta Prioritaria";"2023-03-06 00:00:00";"Consegna Riuscita"
225;"Corriere Express";"2023-10-04 00:00:00";"In Consegna"
226;"Corriere Express";"2023-07-18 00:00:00";"In Consegna"
227;"Posta Prioritaria";"2023-05-29 00:00:00";"In Consegna"
228;"Corriere Express";"2023-07-03 00:00:00";"Consegna Riuscita"
229;"Corriere Express";"2023-01-02 00:00:00";"Consegna Riuscita"
230;"Corriere Express";"2023-09-07 00:00:00";"In Consegna"
231;"Corriere Express";"2023-11-18 00:00:00";"In Consegna"
232;"Corriere Express";"2023-11-02 00:00:00";"Consegna Riuscita"
233;"Posta Prioritaria";"2023-10-05 00:00:00";"In Consegna"
234;"Posta Prioritaria";"2023-07-02 00:00:00";"In Consegna"
235;"Corriere Express";"2023-08-14 00:00:00";"In Consegna"
236;"Posta Prioritaria";"2023-10-26 00:00:00";"In Consegna"
237;"Corriere Express";"2023-03-26 00:00:00";"In Consegna"
238;"Corriere Express";"2023-03-14 00:00:00";"Consegna Riuscita"
239;"Posta Prioritaria";"2023-11-21 00:00:00";"Consegna Riuscita"
240;"Posta Prioritaria";"2023-09-27 00:00:00";"Consegna Riuscita"
241;"Posta Prioritaria";"2023-11-27 00:00:00";"Consegna Riuscita"
242;"Corriere Express";"2023-10-01 00:00:00";"Consegna Riuscita"
243;"Posta Prioritaria";"2023-08-06 00:00:00";"In Consegna"
244;"Posta Prioritaria";"2023-10-23 00:00:00";"Consegna Riuscita"
245;"Posta Prioritaria";"2023-01-10 00:00:00";"Consegna Riuscita"
246;"Posta Prioritaria";"2023-06-11 00:00:00";"In Consegna"
247;"Corriere Express";"2023-05-25 00:00:00";"Consegna Riuscita"
248;"Posta Prioritaria";"2023-10-25 00:00:00";"In Consegna"
249;"Corriere Express";"2023-02-07 00:00:00";"In Consegna"
250;"Corriere Express";"2023-04-11 00:00:00";"Consegna Riuscita"
251;"Posta Prioritaria";"2023-03-10 00:00:00";"In Consegna"
252;"Posta Prioritaria";"2023-12-11 00:00:00";"In Consegna"
253;"Posta Prioritaria";"2023-05-20 00:00:00";"Consegna Riuscita"
254;"Corriere Express";"2023-04-14 00:00:00";"In Consegna"
255;"Corriere Express";"2023-10-25 00:00:00";"Consegna Riuscita"
256;"Corriere Express";"2023-05-13 00:00:00";"In Consegna"
257;"Posta Prioritaria";"2023-03-08 00:00:00";"In Consegna"
258;"Corriere Express";"2023-08-07 00:00:00";"Consegna Riuscita"
259;"Corriere Express";"2023-11-19 00:00:00";"Consegna Riuscita"
260;"Corriere Express";"2023-07-28 00:00:00";"In Consegna"
261;"Posta Prioritaria";"2023-11-05 00:00:00";"In Consegna"
262;"Posta Prioritaria";"2023-03-24 00:00:00";"In Consegna"
263;"Corriere Express";"2023-10-16 00:00:00";"In Consegna"
264;"Posta Prioritaria";"2023-08-09 00:00:00";"In Consegna"
265;"Corriere Express";"2023-07-26 00:00:00";"Consegna Riuscita"
266;"Corriere Express";"2023-01-06 00:00:00";"Consegna Riuscita"
267;"Posta Prioritaria";"2023-11-04 00:00:00";"Consegna Riuscita"
268;"Corriere Express";"2023-07-05 00:00:00";"Consegna Riuscita"
269;"Posta Prioritaria";"2023-07-16 00:00:00";"Consegna Riuscita"
270;"Posta Prioritaria";"2023-01-26 00:00:00";"Consegna Riuscita"
271;"Corriere Express";"2023-12-18 00:00:00";"In Consegna"
272;"Corriere Express";"2023-07-25 00:00:00";"In Consegna"
273;"Posta Prioritaria";"2023-02-13 00:00:00";"Consegna Riuscita"
274;"Corriere Express";"2023-09-28 00:00:00";"In Consegna"
275;"Posta Prioritaria";"2023-12-22 00:00:00";"In Consegna"
276;"Corriere Express";"2023-11-06 00:00:00";"Consegna Riuscita"
277;"Corriere Express";"2023-03-11 00:00:00";"Consegna Riuscita"
278;"Corriere Express";"2023-05-13 00:00:00";"In Consegna"
279;"Posta Prioritaria";"2023-02-03 00:00:00";"Consegna Riuscita"
280;"Corriere Express";"2023-03-17 00:00:00";"Consegna Riuscita"
281;"Corriere Express";"2023-11-27 00:00:00";"Consegna Riuscita"
282;"Corriere Express";"2023-01-30 00:00:00";"In Consegna"
283;"Posta Prioritaria";"2023-07-04 00:00:00";"In Consegna"
284;"Posta Prioritaria";"2023-02-11 00:00:00";"Consegna Riuscita"
285;"Posta Prioritaria";"2023-03-22 00:00:00";"In Consegna"
286;"Posta Prioritaria";"2023-01-19 00:00:00";"In Consegna"
287;"Corriere Express";"2023-06-25 00:00:00";"Consegna Riuscita"
288;"Corriere Express";"2023-06-30 00:00:00";"In Consegna"
289;"Corriere Express";"2023-01-29 00:00:00";"Consegna Riuscita"
290;"Posta Prioritaria";"2023-06-28 00:00:00";"In Consegna"
291;"Posta Prioritaria";"2023-06-03 00:00:00";"Consegna Riuscita"
292;"Posta Prioritaria";"2023-10-06 00:00:00";"In Consegna"
293;"Corriere Express";"2023-03-09 00:00:00";"In Consegna"
294;"Corriere Express";"2023-05-11 00:00:00";"In Consegna"
295;"Corriere Express";"2023-04-01 00:00:00";"Consegna Riuscita"
296;"Corriere Express";"2023-09-12 00:00:00";"In Consegna"
297;"Corriere Express";"2023-07-05 00:00:00";"In Consegna"
298;"Corriere Express";"2023-11-20 00:00:00";"Consegna Riuscita"
299;"Posta Prioritaria";"2023-04-09 00:00:00";"In Consegna"
300;"Posta Prioritaria";"2023-01-22 00:00:00";"Consegna Riuscita"
301;"Corriere Express";"2023-07-07 00:00:00";"Consegna Riuscita"
302;"Posta Prioritaria";"2023-05-08 00:00:00";"Consegna Riuscita"
303;"Posta Prioritaria";"2023-04-25 00:00:00";"Consegna Riuscita"
304;"Corriere Express";"2023-02-13 00:00:00";"Consegna Riuscita"
305;"Corriere Express";"2023-09-21 00:00:00";"Consegna Riuscita"
306;"Corriere Express";"2023-05-04 00:00:00";"In Consegna"
307;"Corriere Express";"2023-04-29 00:00:00";"Consegna Riuscita"
308;"Corriere Express";"2023-04-23 00:00:00";"In Consegna"
309;"Posta Prioritaria";"2023-04-24 00:00:00";"Consegna Riuscita"
310;"Posta Prioritaria";"2023-02-14 00:00:00";"Consegna Riuscita"
311;"Posta Prioritaria";"2023-03-27 00:00:00";"In Consegna"
312;"Corriere Express";"2023-04-17 00:00:00";"In Consegna"
313;"Corriere Express";"2023-01-16 00:00:00";"In Consegna"
314;"Posta Prioritaria";"2023-03-12 00:00:00";"Consegna Riuscita"
315;"Corriere Express";"2023-11-14 00:00:00";"In Consegna"
316;"Corriere Express";"2023-12-19 00:00:00";"In Consegna"
317;"Posta Prioritaria";"2023-08-18 00:00:00";"Consegna Riuscita"
318;"Posta Prioritaria";"2023-04-25 00:00:00";"Consegna Riuscita"
319;"Corriere Express";"2023-10-13 00:00:00";"Consegna Riuscita"
320;"Posta Prioritaria";"2023-08-30 00:00:00";"Consegna Riuscita"
321;"Posta Prioritaria";"2023-02-03 00:00:00";"Consegna Riuscita"
322;"Corriere Express";"2023-07-05 00:00:00";"In Consegna"
323;"Corriere Express";"2023-05-16 00:00:00";"In Consegna"
324;"Posta Prioritaria";"2023-05-22 00:00:00";"Consegna Riuscita"
325;"Posta Prioritaria";"2023-09-19 00:00:00";"Consegna Riuscita"
326;"Corriere Express";"2023-05-17 00:00:00";"Consegna Riuscita"
327;"Corriere Express";"2023-03-04 00:00:00";"In Consegna"
328;"Posta Prioritaria";"2023-02-15 00:00:00";"Consegna Riuscita"
329;"Posta Prioritaria";"2023-08-12 00:00:00";"In Consegna"
330;"Posta Prioritaria";"2023-12-16 00:00:00";"In Consegna"
331;"Corriere Express";"2023-06-29 00:00:00";"In Consegna"
332;"Corriere Express";"2023-06-07 00:00:00";"In Consegna"
333;"Posta Prioritaria";"2023-07-25 00:00:00";"In Consegna"
334;"Corriere Express";"2023-12-23 00:00:00";"Consegna Riuscita"
335;"Corriere Express";"2023-07-03 00:00:00";"In Consegna"
336;"Posta Prioritaria";"2023-12-31 00:00:00";"In Consegna"
337;"Posta Prioritaria";"2023-10-14 00:00:00";"Consegna Riuscita"
338;"Corriere Express";"2023-04-21 00:00:00";"Consegna Riuscita"
339;"Corriere Express";"2023-03-27 00:00:00";"In Consegna"
340;"Posta Prioritaria";"2023-05-21 00:00:00";"Consegna Riuscita"
341;"Corriere Express";"2023-09-18 00:00:00";"In Consegna"
342;"Corriere Express";"2023-08-23 00:00:00";"In Consegna"
343;"Posta Prioritaria";"2023-01-29 00:00:00";"Consegna Riuscita"
344;"Corriere Express";"2023-04-28 00:00:00";"Consegna Riuscita"
345;"Corriere Express";"2023-10-03 00:00:00";"Consegna Riuscita"
346;"Posta Prioritaria";"2023-08-06 00:00:00";"In Consegna"
347;"Corriere Express";"2023-12-07 00:00:00";"Consegna Riuscita"
348;"Posta Prioritaria";"2023-03-20 00:00:00";"In Consegna"
349;"Corriere Express";"2023-06-30 00:00:00";"Consegna Riuscita"
350;"Posta Prioritaria";"2023-03-14 00:00:00";"Consegna Riuscita"
351;"Posta Prioritaria";"2023-01-24 00:00:00";"In Consegna"
352;"Posta Prioritaria";"2023-04-30 00:00:00";"In Consegna"
353;"Corriere Express";"2023-08-30 00:00:00";"Consegna Riuscita"
354;"Posta Prioritaria";"2023-11-08 00:00:00";"Consegna Riuscita"
355;"Corriere Express";"2023-05-17 00:00:00";"Consegna Riuscita"
356;"Posta Prioritaria";"2023-12-24 00:00:00";"In Consegna"
357;"Corriere Express";"2023-07-19 00:00:00";"Consegna Riuscita"
358;"Posta Prioritaria";"2023-02-06 00:00:00";"Consegna Riuscita"
359;"Posta Prioritaria";"2023-06-23 00:00:00";"Consegna Riuscita"
360;"Posta Prioritaria";"2023-09-17 00:00:00";"In Consegna"
361;"Corriere Express";"2023-03-19 00:00:00";"Consegna Riuscita"
362;"Posta Prioritaria";"2023-09-17 00:00:00";"Consegna Riuscita"
363;"Corriere Express";"2023-01-02 00:00:00";"In Consegna"
364;"Posta Prioritaria";"2023-12-08 00:00:00";"Consegna Riuscita"
365;"Posta Prioritaria";"2023-05-22 00:00:00";"In Consegna"
366;"Corriere Express";"2023-04-18 00:00:00";"In Consegna"
367;"Corriere Express";"2023-12-16 00:00:00";"In Consegna"
368;"Corriere Express";"2023-02-16 00:00:00";"In Consegna"
369;"Posta Prioritaria";"2023-02-23 00:00:00";"In Consegna"
370;"Posta Prioritaria";"2023-07-17 00:00:00";"In Consegna"
371;"Corriere Express";"2023-05-06 00:00:00";"In Consegna"
372;"Corriere Express";"2023-04-02 00:00:00";"Consegna Riuscita"
373;"Corriere Express";"2023-02-07 00:00:00";"In Consegna"
374;"Posta Prioritaria";"2023-06-03 00:00:00";"In Consegna"
375;"Posta Prioritaria";"2023-12-13 00:00:00";"Consegna Riuscita"
376;"Corriere Express";"2023-04-20 00:00:00";"Consegna Riuscita"
377;"Corriere Express";"2023-05-24 00:00:00";"Consegna Riuscita"
378;"Corriere Express";"2023-03-14 00:00:00";"In Consegna"
379;"Corriere Express";"2023-09-29 00:00:00";"In Consegna"
380;"Corriere Express";"2023-05-07 00:00:00";"In Consegna"
381;"Posta Prioritaria";"2023-01-22 00:00:00";"In Consegna"
382;"Posta Prioritaria";"2023-07-12 00:00:00";"Consegna Riuscita"
383;"Posta Prioritaria";"2023-08-19 00:00:00";"Consegna Riuscita"
384;"Posta Prioritaria";"2023-07-15 00:00:00";"Consegna Riuscita"
385;"Posta Prioritaria";"2023-09-16 00:00:00";"Consegna Riuscita"
386;"Corriere Express";"2023-06-24 00:00:00";"Consegna Riuscita"
387;"Corriere Express";"2023-08-25 00:00:00";"In Consegna"
388;"Corriere Express";"2023-01-16 00:00:00";"Consegna Riuscita"
389;"Posta Prioritaria";"2023-05-19 00:00:00";"Consegna Riuscita"
390;"Posta Prioritaria";"2023-05-03 00:00:00";"Consegna Riuscita"
391;"Corriere Express";"2023-04-03 00:00:00";"In Consegna"
392;"Corriere Express";"2023-07-03 00:00:00";"Consegna Riuscita"
